area,area1,area2,area3,area4,area5,Level,Skincare,Skincare1,Skincare2,Skincare3,Skincare4,Skincare5,Skincare6,Skincare7,htk,observ,another
หน้าผาก,หน้าผาก,,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,ไม่ค่อยโดนแดดแรงๆ,ลองก่อนคืนนึงถ้าดีค่อยใช้ต่อ,มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,รุนแรง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ยารักษาสิว, มาส์กหน้า, โฟมล้างหน้า,,-,-,ไม่มี
"แก้ม, คาง",แก้ม, คาง,,,,น้อยมาก,"ครีมบำรุงผิว, เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง",ครีมบำรุงผิว, เซรั่ม, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง,,,,ความชุ่มชื่น และ บริเวณ T-Zone,ดูสภาพผิวหลังตื่นนอน ริ้วรอย ความชุ่มชื่น,มี
คาง,คาง,,,,,ปานกลาง,"ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, เซรั่ม, ยารักษาสิว, มาส์กหน้า, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,อ่านรายละเอียดใช้ตามแนะนำ,ดีขึ้น,ไม่มี
หน้าผาก,หน้าผาก,,,,,รุนแรง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า,,,,ดูวิธีการใช้,สลับใช้,มี
คาง,คาง,,,,,น้อยมาก,ยารักษาสิว,ยารักษาสิว,,,,,,,เหมาะผิวบอบบาง ,หน้าขุทขื่นไม่เกิดสิว,มี
จมูก,จมูก,,,,,น้อยมาก,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, ผลิตภัณฑ์ล้างเครื่องสำอาง, โฟมล้างหน้า,,,SKll ,ดูแลผิว,ไม่มี
จมูก,จมูก,,,,,น้อยมาก,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, มาส์กหน้า, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, มาส์กหน้า, โฟมล้างหน้า,,,ไม่แน่ใจ,ความชุ่มชื้น ,มี
"แก้ม, รอบปาก",แก้ม, รอบปาก,,,,ปานกลาง,"ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า",ครีมบำรุงผิว, โทนเนอร์, เซรั่ม, โฟมล้างหน้า,,,,คำอธิบายของผลิตภัณฑ์,สิวขึ้น,ไม่มี
"หน้าผาก, แก้ม",หน้าผาก, แก้ม,,,,ปานกลาง,โฟมล้างหน้า,โฟมล้างหน้า,,,,,,,ผมไม่เคยใช้🥹,ไม่เคยเลยงับ🤓,ไม่มี
